,RED,,GREEN,,BLUE,,BRIGHTNESS
1,936,,1294,,1113,,868
2,287,,420,,330,,249
3,128,,194,,174,,139
4,79,,120,,120,,97
5,64,,88,,87,,79
6,54,,72,,72,,72
7,49,,62,,62,,70
8,46,,57,,55,,68
9,44,,54,,50,,68
10,43,,53,,49,,71
11,43,,52,,47,,75
12,42,,52,,47,,77
13,42,,52,,46,,79
14,41,,52,,46,,79
15,41,,52,,46,,77
16,41,,52,,47,,76
17,41,,52,,46,,74
18,41,,52,,47,,70
19,41,,53,,47,,68
20,40,,53,,47,,65
21,40,,54,,48,,62
22,40,,55,,49,,59
23,40,,55,,50,,58
24,40,,56,,50,,58
25,40,,57,,50,,57
26,41,,58,,51,,57
27,41,,59,,52,,57
28,41,,60,,53,,58
29,42,,62,,55,,58
30,43,,65,,57,,59
31,45,,69,,60,,60
32,46,,74,,63,,61
33,48,,78,,65,,63
34,50,,82,,67,,65
35,51,,85,,69,,67
36,53,,86,,71,,70
37,55,,88,,73,,73
38,57,,91,,75,,76
39,59,,95,,78,,79
40,62,,100,,81,,82
41,65,,106,,85,,85
42,69,,114,,88,,89
43,73,,123,,93,,93
44,78,,131,,97,,99
45,84,,139,,102,,105
46,90,,149,,108,,113
47,97,,161,,116,,121
48,103,,174,,123,,130
49,109,,188,,133,,140
50,117,,203,,141,,150
51,122,,216,,149,,161
52,128,,229,,157,,172
53,134,,241,,165,,184
54,140,,253,,174,,195
55,146,,264,,183,,207
56,152,,274,,191,,216
57,157,,283,,200,,226
58,161,,289,,207,,235
59,166,,293,,215,,244
60,171,,297,,222,,252
61,176,,300,,230,,258
62,180,,302,,238,,263
63,184,,302,,246,,267
64,188,,302,,254,,270
65,191,,301,,261,,273
66,192,,298,,269,,274
67,194,,295,,277,,275
68,194,,292,,283,,274
69,195,,288,,290,,274
70,195,,284,,296,,273
71,195,,280,,302,,272
72,195,,275,,307,,271
73,195,,271,,310,,296
74,194,,265,,313,,270
75,194,,261,,315,,264
76,194,,256,,318,,261
77,193,,253,,320,,258
78,192,,248,,322,,254
79,192,,244,,325,,251
80,193,,240,,327,,247
81,193,,237,,329,,245
82,193,,234,,330,,242
83,193,,231,,331,,239
84,193,,228,,332,,236
85,193,,226,,332,,233
86,194,,247,,332,,230
87,194,,221,,331,,228
88,193,,217,,329,,224
89,192,,215,,327,,222
90,191,,213,,325,,219
91,190,,211,,322,,217
92,188,,209,,319,,214
93,186,,208,,316,,212
94,184,,206,,313,,210
95,182,,205,,309,,208
96,181,,204,,305,,206
97,180,,203,,301,,204
98,179,,202,,297,,202
99,178,,201,,293,,201
100,177,,201,,290,,199
101,176,,200,,286,,198
102,175,,199,,282,,197
103,175,,198,,280,,196
104,174,,198,,276,,195
105,173,,197,,274,,194
106,173,,197,,271,,194
107,172,,196,,269,,193
108,172,,196,,268,,192
109,172,,196,,266,,192
110,171,,197,,265,,192
111,171,,197,,264,,193
112,171,,198,,263,,192
113,170,,198,,262,,192
114,169,,199,,262,,192
115,169,,200,,261,,191
116,168,,201,,261,,191
117,168,,202,,261,,191
118,168,,203,,261,,191
119,168,,204,,261,,191
120,167,,206,,262,,192
121,167,,207,,262,,193
122,167,,208,,263,,194
123,168,,210,,264,,195
124,168,,211,,264,,196
125,169,,213,,266,,198
126,170,,215,,267,,199
127,169,,217,,268,,201
128,170,,219,,269,,202
129,170,,221,,270,,204
130,170,,223,,272,,205
131,171,,225,,273,,207
132,171,,227,,274,,209
133,172,,230,,276,,210
134,173,,232,,277,,212
135,173,,234,,279,,214
136,174,,237,,280,,216
137,175,,240,,281,,218
138,176,,242,,283,,220
139,177,,245,,284,,222
140,178,,247,,285,,225
141,179,,250,,286,,227
142,180,,252,,287,,229
143,181,,255,,288,,232
144,183,,258,,289,,235
145,184,,260,,291,,238
146,185,,262,,291,,240
147,187,,265,,292,,243
148,188,,268,,292,,246
149,189,,271,,293,,249
150,191,,274,,293,,251
151,192,,277,,294,,254
152,194,,279,,294,,257
153,196,,282,,294,,260
154,198,,284,,294,,263
155,199,,286,,294,,266
156,201,,288,,294,,269
157,203,,291,,293,,273
158,205,,293,,293,,276
159,207,,296,,294,,279
160,209,,299,,293,,282
161,211,,302,,312,,286
162,214,,304,,292,,289
163,215,,307,,291,,291
164,218,,308,,289,,295
165,220,,309,,287,,298
166,223,,311,,286,,301
167,226,,312,,284,,304
168,228,,314,,283,,308
169,231,,315,,281,,311
170,234,,317,,280,,315
171,237,,318,,278,,318
172,239,,320,,276,,321
173,242,,321,,274,,325
174,246,,323,,272,,328
175,250,,325,,270,,331
176,253,,325,,268,,334
177,256,,325,,266,,337
178,260,,327,,264,,339
179,264,,327,,262,,342
180,267,,328,,260,,345
181,271,,327,,257,,348
182,274,,327,,254,,350
183,277,,327,,252,,353
184,281,,326,,250,,355
185,285,,325,,247,,358
186,289,,324,,244,,360
187,292,,324,,242,,362
188,295,,324,,239,,365
189,299,,324,,236,,367
190,304,,324,,233,,370
191,309,,324,,230,,373
192,312,,324,,227,,375
193,316,,322,,224,,377
194,322,,320,,222,,379
195,326,,319,,220,,379
196,331,,318,,217,,380
197,334,,317,,215,,381
198,336,,315,,212,,383
199,340,,313,,211,,383
200,346,,309,,208,,383
201,351,,307,,207,,382
202,354,,306,,205,,384
203,356,,308,,204,,386
204,363,,309,,203,,387
205,368,,309,,201,,387
206,374,,311,,200,,387
207,376,,309,,199,,387
208,378,,307,,198,,385
209,382,,306,,198,,383
210,391,,303,,197,,382
211,396,,302,,198,,381
212,400,,300,,197,,382
213,400,,298,,197,,379
214,411,,296,,198,,377
215,416,,293,,198,,377
216,423,,290,,199,,374
217,423,,292,,199,,371
218,422,,293,,201,,370
219,423,,295,,201,,373
220,434,,298,,202,,370
221,438,,300,,204,,368
222,442,,300,,206,,367
223,435,,301,,208,,364
224,448,,302,,212,,359
225,452,,304,,215,,358
226,460,,305,,218,,357
227,458,,306,,222,,357
228,455,,307,,226,,358
229,454,,308,,229,,357
230,469,,310,,232,,359
231,473,,312,,234,,358
232,479,,314,,239,,358
233,471,,316,,245,,358
234,489,,318,,250,,355
235,492,,321,,256,,354
236,499,,322,,261,,355
237,493,,325,,265,,356
238,488,,327,,271,,359
239,482,,329,,274,,359
240,498,,330,,281,,359
241,500,,331,,285,,360
242,507,,336,,296,,365
243,494,,502,,302,,371
244,677,,347,,304,,544
245,522,,349,,306,,384
246,538,,348,,316,,398
247,532,,352,,321,,416
248,525,,357,,501,,419
249,525,,368,,348,,441
250,569,,376,,375,,462
251,600,,379,,397,,481
252,669,,392,,438,,486
253,770,,435,,554,,583
254,1237,,591,,1012,,659
255,2574,,1556,,2454,,1129
256,11824,,10445,,12142,,9076
