Name,RedBr,GreenBr,BlueBr
0a00a9dc-b4a2-43a8-8578-3b13bba3e9ca.jpg,232.35,162.7,138.94
0a01ed16-9082-4e5a-bec2-f23ac72b922f.jpg,172.86,138,127.79
0a0c88ea-95a6-4291-bd47-26101806b72f.jpg,198.41,156.66,142.14
0a0d8ee2-a25f-4268-b828-55f820b2b96a.jpg,223.11,166.14,144.17
0a0e1537-aee8-4fdb-867f-eaf685bbdea3.jpg,195.72,147.49,123.64
0a0e20fc-43bc-4c25-acfa-2c45046183aa.jpg,184.23,132.67,144.02
0a0e7f3e-8e07-44f0-b430-c1d45f1dfda6.jpg,180.82,127.64,128.46
0a0f0007-d89d-41ba-8e96-5271be038f5e.jpg,226.7,153.36,132.96
0a1d239f-066a-4028-aaa6-162edec833e0.jpg,195.36,135.07,116.33
0a1f0368-cbea-416d-ad54-dc94162ab299.jpg,185.07,143.76,144.72
0a1f5021-74c6-4b85-afd0-dabe51a509d3.jpg,163.68,116.31,124.17
0a2b2351-942c-4816-94e5-6fc7b3c91099.jpg,211.68,154.76,131.41
0a2c5eed-4587-4423-b68d-ae2f53d27924.jpg,177.55,146.78,128.95
0a2ca9b4-5ffd-4f1f-bf97-e767b91b900c.jpg,180.68,152.2,142.94
0a2edcfd-3a12-4acc-8336-8f6fdeb95c93.jpg,202.31,150.53,141.95
0a3bc237-f7ec-456f-9f7d-bdd99fd984bd.jpg,191.75,146.78,128.44
0a3bf745-e1ad-42cf-8af5-86ce7e1b3cc3.jpg,175.73,126.99,126.32
0a3e0aed-c65f-4707-af97-17b66917f249.jpg,230.6,168.52,144.04
0a3e1a2e-48f9-45cc-9d32-79b4cf815bba.jpg,227.76,178.35,162.82
0a3faa32-62a5-4596-aac4-d75034ced783.jpg,205.57,160.04,149.74
